District_Name,Crop_Year,Season,Area,Production,Temperature,PH,Rainfall,Sowing Temp,Harvest Temp,Phosphorous,Nitrogen,Potash,crop
CHITRADURGA,1997,Kharif,109411,261359,28.64394261,7.002514148,64.33340255,29.42916922,31.36136587,20.71628312,42.95658274,9.99350256,maize-k
DHARWAD,1997,Kharif,109236,281572,26.29959559,6.827138402,64.15483719,29.19188968,33.98131494,20.12580827,43.11304938,9.992490079,maize-k
GULBARGA,1997,Kharif,1267,3407,25.56118517,5.953226306,91.35280824,29.56089061,33.01453345,17.10876877,41.77134724,9.470490285,maize-k
HASSAN,1997,Kharif,4808,13259,29.29743813,7.25960016,72.58947137,26.6868373,33.34624091,20.9303507,44.74371917,8.890834745,maize-k
KODAGU,1997,Kharif,1510,3295,27.4130971,5.538678498,109.8021318,26.47910968,31.28084704,15.54032458,44.94208746,9.077472157,maize-k
KOLAR,1997,Kharif,11503,40636,28.27723245,7.049089942,68.33908147,28.46211568,30.55513771,17.25078076,42.75559754,10.37137169,maize-k
MANDYA,1997,Kharif,102,251,26.56217896,5.777649461,84.20861003,29.11035605,30.82617734,18.26061948,40.26263361,8.358489116,maize-k
MYSORE,1997,Kharif,20029,65080,28.18381215,7.023070116,85.83794139,27.46984098,30.12882487,18.78769361,42.27652056,9.759403157,maize-k
RAICHUR,1997,Kharif,9911,34724,26.48987875,5.608428713,92.89229942,28.77925007,31.99300281,16.76739647,45.64209748,10.71737615,maize-k
SHIMOGA,1997,Kharif,55694,131489,26.45791636,5.671829882,104.4254002,28.59578094,31.44405696,20.94296171,45.77466857,8.607854816,maize-k
TUMKUR,1997,Kharif,3049,7239,26.1626917,6.208343954,78.20176452,26.33557324,30.24976305,20.43754744,44.15190569,9.657628289,maize-k
UTTAR KANNAD,1997,Kharif,86,174,26.74159247,5.95414753,73.02083471,27.46492613,31.70478732,20.79279563,41.83915511,8.674389209,maize-k
BELGAUM,1997,Rabi,26432,50103,24.96164147,6.742360691,61.47593196,26.64831877,29.29633767,71.36999768,21.81387592,10.27578493,maize-r
BELLARY,1997,Rabi,600,1225,25.09022054,6.25629595,206.9752755,25.03291884,28.86669395,69.53161266,21.31370148,10.12241413,maize-r
BENGALURU URBAN,1997,Rabi,339,694,21.1526273,5.977391066,240.9735561,23.94645941,28.50264619,66.9273503,26.37891633,10.43355794,maize-r
BIDAR,1997,Rabi,38,68,22.46840986,6.181868282,139.156327,26.01081229,25.65696283,71.65594223,23.72824625,10.48310418,maize-r
BIJAPUR,1997,Rabi,15892,35590,21.44913543,6.556450522,245.5658151,23.71865984,26.83662688,74.42694043,21.79985155,13.08845196,maize-r
CHITRADURGA,1997,Rabi,494,1010,24.02781024,6.525605798,235.5889557,23.96783956,27.17718686,72.49110565,25.27275948,13.65549477,maize-r
DHARWAD,1997,Rabi,1789,3654,24.12702952,7.063840851,160.0766324,25.30621222,29.49782809,68.49732237,24.51919052,10.12332763,maize-r
GULBARGA,1997,Rabi,228,462,21.54591398,5.83771567,93.5491802,26.85781043,26.90516372,65.66179951,23.33269394,13.93435529,maize-r
HASSAN,1997,Rabi,9,18,22.71027282,5.831825203,232.6410489,22.01419764,27.60933888,66.83445678,22.84068268,13.29093403,maize-r
KOLAR,1997,Rabi,239,489,21.57952209,6.596798518,69.39538565,23.64291133,28.63880184,67.04158186,24.9151513,12.90932805,maize-r
MYSORE,1997,Rabi,1338,2712,21.93089306,7.143608494,98.66634892,25.19718,29.73267297,65.90870546,23.41127566,13.12982725,maize-r
RAICHUR,1997,Rabi,336,658,26.26442162,7.36683394,240.4808456,22.5815214,28.4838258,70.75273913,22.59522584,10.01737243,maize-r
SHIMOGA,1997,Rabi,2,4,24.82977635,6.511145862,107.8209297,26.0828198,27.56334465,69.17713674,25.17359804,13.83941415,maize-r
TUMKUR,1997,Rabi,1104,2239,25.38395493,5.510417984,66.87644798,24.58335854,26.69571681,72.12582335,22.18063069,12.05446301,maize-r
UTTAR KANNAD,1997,Rabi,4,6,23.89644411,7.078435434,186.291331,25.53937181,29.5014238,73.50841611,23.99202889,12.50891774,maize-r
BELGAUM,1997,Kharif,2501,2525,24.39133529,6.112694989,106.4009921,30.9948913,25.00128345,14.02481625,24.24176625,10.35150101,ragi
BELLARY,1997,Kharif,17185,12676,33.81214865,7.474708487,100.7004361,30.91222233,26.93620436,11.55581278,26.19935462,11.35862677,ragi
BENGALURU URBAN,1997,Kharif,178931,309672,26.76925463,7.737737432,100.7228343,33.39405471,28.42056038,9.206458063,25.23288004,11.52539701,ragi
CHIKMAGALUR,1997,Kharif,53900,60319,33.75849951,5.395356673,105.8747913,33.84568326,29.97364059,13.06730377,27.90345553,11.13390158,ragi
CHITRADURGA,1997,Kharif,62426,53619,33.49643878,7.096350825,99.83309487,33.88358465,28.7678009,14.23861374,24.13618038,10.67137755,ragi
DHARWAD,1997,Kharif,5389,3889,24.49438063,5.40985049,98.04125985,30.58213172,23.11884537,14.48234028,26.43985056,13.29316568,ragi
GULBARGA,1997,Kharif,76,99,32.9186949,6.750446215,91.0895304,30.44567391,28.65771386,9.586928086,26.51950462,13.27627329,ragi
HASSAN,1997,Kharif,106980,143458,30.4292574,4.531660432,92.35759757,32.99857151,27.90433522,10.35696117,23.71670219,10.81639821,ragi
KODAGU,1997,Kharif,360,470,20.74119652,4.643704016,100.8967071,30.48130221,24.6033474,13.71890693,23.08840575,11.71434008,ragi
KOLAR,1997,Kharif,100225,142957,21.29046964,7.285547523,97.90079624,31.62404184,28.74470194,9.206851252,22.30256462,12.30569273,ragi
MANDYA,1997,Kharif,78428,137349,24.18626031,5.624634196,103.4446604,33.39824738,21.65344226,10.33837956,22.14692235,11.07200526,ragi
MYSORE,1997,Kharif,90302,133034,31.62228336,5.730281788,101.2974652,33.70093314,26.95092018,9.298423048,23.12049307,11.76570061,ragi
SHIMOGA,1997,Kharif,20950,19094,30.52318648,4.90456146,98.18283744,30.6830127,29.37041724,14.71954074,25.24072137,10.0120637,ragi
TUMKUR,1997,Kharif,180184,195029,20.28261025,6.017473883,102.8576042,30.51556364,22.7430016,11.08887245,26.48447142,11.91809501,ragi
UTTAR KANNAD,1997,Kharif,84,92,23.12667188,4.774760183,94.60888158,30.45487222,26.94021569,10.25731643,25.1179075,10.48990644,ragi
BANGALORE RURAL,1997,Kharif,11240,26256,27.71395015,8.375689009,11.62109584,29.39472594,22.17873839,48.75095032,12.05852279,13.75731478,rice
BELGAUM,1997,Kharif,63734,91677,28.13109544,8.495431103,12.63155194,22.18691337,24.7974307,51.17959174,10.76568783,10.85219678,rice
BELLARY,1997,Kharif,34112,96733,20.35508174,5.353226244,15.14327345,23.1107137,24.56057196,51.53552924,12.19473298,13.82790728,rice
BENGALURU URBAN,1997,Kharif,3507,11033,18.18207205,8.41503998,14.69443377,21.11542892,21.33514001,47.00498368,13.82241599,11.54082178,rice
BIDAR,1997,Kharif,9385,6109,29.62616745,8.486162984,13.36984068,20.20147301,23.52045079,51.50612878,11.30368101,13.11101099,rice
BIJAPUR,1997,Kharif,450,635,28.80490308,5.935834141,13.95396678,25.26718667,24.20596463,48.01349775,11.40042439,13.62324851,rice
CHIKMAGALUR,1997,Kharif,48109,112905,26.28708187,9.105733574,17.11204298,26.86445312,16.48114358,47.41171631,10.41895235,13.0676459,rice
CHITRADURGA,1997,Kharif,39725,136465,17.91130617,8.497874829,13.18139933,21.18011129,16.12572077,49.51626966,10.37228581,13.83377571,rice
DAKSHIN KANNAD,1997,Kharif,92885,180119,25.69776467,6.757606604,16.77249749,27.7495867,17.65947129,48.18357933,10.19481254,11.94920418,rice
DHARWAD,1997,Kharif,89655,103406,17.6119164,8.443857,17.94418224,28.08061413,22.68909895,48.69058752,12.27457359,10.54679848,rice
GULBARGA,1997,Kharif,6591,12179,18.87796634,8.838106293,19.58425487,27.26778676,23.00407452,47.66528005,12.40887747,10.4482667,rice
HASSAN,1997,Kharif,53948,147084,19.57672294,7.859957762,12.26562391,20.66651995,16.85638124,47.29078176,12.26427466,11.28070697,rice
KODAGU,1997,Kharif,39414,87476,22.05968364,8.531202251,16.6941686,26.22757833,23.06494865,50.82640669,11.41899198,10.30922692,rice
KOLAR,1997,Kharif,12130,26791,28.02783815,9.30420131,16.45751034,23.09032086,19.36491807,48.28472649,10.5790046,11.4662917,rice
MANDYA,1997,Kharif,57997,150905,23.79193058,5.67064644,16.36398572,25.39997811,25.98080094,52.2979125,12.07303232,11.8754347,rice
MYSORE,1997,Kharif,105069,306717,28.53171314,5.379258249,14.31366217,22.95598085,16.33188235,47.23196523,12.64442045,13.56475652,rice
RAICHUR,1997,Kharif,92636,287526,20.46657486,7.99846733,19.09215949,23.7709516,23.73793371,48.25263739,13.29128056,13.44062991,rice
SHIMOGA,1997,Kharif,162939,370499,27.42128399,5.157136357,13.21737643,23.08788235,23.49275114,48.52552317,10.65818673,13.96890306,rice
TUMKUR,1997,Kharif,22589,57865,20.01778159,9.469434275,13.29709326,20.40826129,18.35538703,47.69835603,10.26518436,10.47561238,rice
UTTAR KANNAD,1997,Kharif,85415,128113,27.16667672,6.227244097,12.24605832,22.48730093,16.77826939,48.80110925,11.59101947,12.81879905,rice
BELGAUM,1997,Whole Year,125173,11177949,21.05385053,5.871286099,81.42841148,23.13727487,26.76886758,84.20509726,0,0,sugarcane
BELLARY,1997,Whole Year,6945,488234,25.43670368,6.568232937,86.09892062,23.26757724,28.44172446,95.06704162,0,0,sugarcane
BENGALURU URBAN,1997,Whole Year,1585,149070,27.93196896,7.541385151,115.4351779,24.70999243,21.07805045,93.9902691,0,0,sugarcane
BIDAR,1997,Whole Year,22571,1543856,23.9500049,8.34108666,127.0325406,20.17512842,24.04047704,91.79326961,0,0,sugarcane
BIJAPUR,1997,Whole Year,56484,5795258,27.03306015,7.578295467,119.8145829,24.26807469,27.14430854,91.50453139,0,0,sugarcane
CHIKMAGALUR,1997,Whole Year,1488,163978,23.3577817,7.52559655,93.55752281,22.86594249,29.57693786,93.78156014,0,0,sugarcane
CHITRADURGA,1997,Whole Year,8378,827746,29.32557249,5.042881724,78.28487719,20.54067506,25.31076743,95.42595783,0,0,sugarcane
DAKSHIN KANNAD,1997,Whole Year,2154,188260,20.45428779,7.407898487,112.0280059,24.46056516,27.65260295,90.78295094,0,0,sugarcane
DHARWAD,1997,Whole Year,7762,442434,28.26554285,7.695774494,75.4141585,24.58310954,24.36879538,91.80323294,0,0,sugarcane
GULBARGA,1997,Whole Year,5032,411114,27.28135404,8.290195356,99.2246201,20.25144039,29.27331035,93.24550737,0,0,sugarcane
HASSAN,1997,Whole Year,4919,495343,25.00285105,6.518530704,112.8305832,21.6894833,25.63152467,86.38799505,0,0,sugarcane
KODAGU,1997,Whole Year,7,658,26.44866445,6.927665074,125.6993238,21.28072764,24.27310375,95.07787111,0,0,sugarcane
KOLAR,1997,Whole Year,3183,290290,27.57958523,7.482956324,116.268705,23.72002894,20.96549567,89.46638065,0,0,sugarcane
MANDYA,1997,Whole Year,26846,2958429,25.08295797,5.994762522,95.47376921,24.20867582,20.50357131,85.47651785,0,0,sugarcane
MYSORE,1997,Whole Year,19349,2058734,23.67833272,5.551983863,92.48034611,22.58214395,26.65637738,93.01734137,0,0,sugarcane
RAICHUR,1997,Whole Year,1304,122641,20.85777827,7.91643488,115.8104498,21.31155174,29.42953524,87.90705275,0,0,sugarcane
SHIMOGA,1997,Whole Year,12141,1614753,20.15286966,6.547380954,109.5842362,21.17429627,26.1816414,85.72413148,0,0,sugarcane
TUMKUR,1997,Whole Year,1732,171122,22.1497268,6.3541033,127.3069409,21.19479349,24.87125337,86.68523473,0,0,sugarcane
UTTAR KANNAD,1997,Whole Year,1804,99400,29.56964979,6.817913259,121.3207783,21.52358883,25.50350146,95.24799682,0,0,sugarcane
BELGAUM,1997,Whole Year,818,4496,24.24471633,5.42046546,162.5540157,28.58551305,20.21680369,10.12855818,11.30631531,9.493324607,turmeric
BELLARY,1997,Whole Year,1,6,26.34191038,5.820001786,219.1716874,29.28572187,21.88159322,8.568694798,9.583445168,10.09799655,turmeric
BENGALURU URBAN,1997,Whole Year,54,181,27.03748089,7.020171482,203.8810238,29.60635287,20.71435517,9.82526826,9.883068163,8.717611933,turmeric
BIDAR,1997,Whole Year,107,109,24.08368448,6.209503787,281.0271837,31.6158902,21.11243012,10.30822389,9.530982986,11.09065737,turmeric
BIJAPUR,1997,Whole Year,375,2468,26.95792829,6.078216978,267.9279055,29.43864476,21.71509804,10.38489594,10.90438948,11.38866509,turmeric
CHIKMAGALUR,1997,Whole Year,32,15,24.87798702,7.269223744,165.964921,28.33794955,21.02440121,8.505124447,8.705643905,9.153490274,turmeric
CHITRADURGA,1997,Whole Year,3,17,27.93054795,6.543911231,207.2864201,27.29224976,20.20699516,8.854966419,10.06059621,11.1760571,turmeric
DAKSHIN KANNAD,1997,Whole Year,102,236,27.63342811,5.722835923,241.5889388,29.63656366,20.81069788,9.561080672,9.832324988,9.786138455,turmeric
GULBARGA,1997,Whole Year,405,714,25.7869194,5.232685279,247.3834532,33.80129448,20.33797831,10.63233188,11.51176703,10.98382684,turmeric
HASSAN,1997,Whole Year,16,89,27.29518795,6.058282388,294.9638397,25.73124406,21.92281455,9.880619498,10.17681009,11.35983966,turmeric
KODAGU,1997,Whole Year,8,44,25.18569762,7.066294057,169.8757621,27.15769869,21.8718303,11.3583056,11.99965659,11.57706512,turmeric
KOLAR,1997,Whole Year,4,22,25.15937455,6.209420361,153.7588008,25.38892576,20.0078792,11.96316591,11.25195312,9.280566678,turmeric
MANDYA,1997,Whole Year,72,453,27.63347721,6.317749031,270.7482271,33.97483199,21.81242308,11.75739204,11.96238909,10.72049453,turmeric
MYSORE,1997,Whole Year,2316,15147,24.66457221,4.98149687,210.5686988,30.24162672,20.69266361,11.71382918,9.294791611,8.666975832,turmeric
SHIMOGA,1997,Whole Year,16,38,26.1660843,6.754695225,160.7651751,33.46959397,21.5292142,9.566030178,9.814256557,11.50847144,turmeric
TUMKUR,1997,Whole Year,3,17,26.92874982,6.266530005,202.9866546,32.58638554,20.4330489,9.716432529,8.603601893,11.27664779,turmeric
UTTAR KANNAD,1997,Whole Year,10,56,25.48978711,4.651482348,159.3110186,32.20176823,20.61261376,11.71821516,8.298249508,10.71974277,turmeric
BELGAUM,1997,Rabi,55130,41220,21.93995382,6.085250883,47.89782768,21.99972174,20.04465062,45.80766562,29.57016425,11.94741437,wheat
BELLARY,1997,Rabi,2900,1893,23.19901362,6.288209358,72.37117435,21.78960174,22.77429831,47.70079897,28.75308634,11.08693838,wheat
BIDAR,1997,Rabi,7110,1585,25.09017602,6.307800252,33.50487895,19.81839484,21.49416194,51.95573678,23.15466299,11.84117431,wheat
BIJAPUR,1997,Rabi,60800,29117,25.03296172,6.897679771,43.73785043,18.64087312,20.56419156,45.24188143,25.92206906,13.3663123,wheat
CHIKMAGALUR,1997,Rabi,68,39,24.31882572,6.423262606,41.03832016,19.37719644,24.99635606,47.70768327,25.42153179,13.21115825,wheat
CHITRADURGA,1997,Rabi,518,381,25.77945119,6.30041724,40.86367335,18.44637634,22.34554707,53.53993939,29.66636538,13.22567152,wheat
DHARWAD,1997,Rabi,86170,34260,21.23769077,6.485118452,38.75292913,19.03847505,22.93340906,48.48007938,23.67607342,13.97675831,wheat
GULBARGA,1997,Rabi,19143,6226,25.9473232,6.229235036,56.28985858,20.09622112,20.72282456,47.4191353,25.06828037,12.97971421,wheat
MYSORE,1997,Rabi,4,4,24.83763735,6.133081994,26.29358543,18.62828741,21.53018603,54.09586689,28.20306453,11.67824184,wheat
RAICHUR,1997,Rabi,18598,3725,23.72395314,6.398397583,72.63088956,20.43061217,20.27297044,47.16289712,26.67503431,13.6965749,wheat
SHIMOGA,1997,Rabi,255,60,22.88620121,6.695710443,37.08320967,19.92921049,23.93715013,51.43407113,20.93643908,13.85477105,wheat
TUMKUR,1997,Rabi,2,2,25.25791373,6.032628792,60.55458388,19.31542702,23.83506531,46.43286827,26.92495543,13.33786659,wheat
BAGALKOT,1998,Kharif,6154,2602,33.35291851,7.409696987,61.42599215,28.90987663,35.46155821,16.11290121,6.344933463,12.01705089,arhar/tur
